Year,Month,Anomaly
1987.211218,September,0.35
1987.290633,October,0.33
1987.370048,November,0.29
1987.449463,December,0.46
1987.528878,January,0.57
1987.608293,February,0.45
1987.687708,March,0.52
1987.767123,April,0.43
1987.846538,May,0.44
1987.925953,June,0.4
1988.005368,July,0.33
1988.084783,August,0.39
1988.164198,September,0.37
1988.243613,October,0.38
1988.323029,November,0.12
1988.402444,December,0.29
1988.561274,January,0.12
1988.640689,February,0.3
1988.720104,March,0.36
1988.799519,April,0.29
1988.878934,May,0.17
1988.958349,June,0.17
1989.037764,July,0.34
1989.117179,August,0.33
1989.196594,September,0.35
1989.276009,October,0.29
1989.355424,November,0.19
1989.434839,December,0.37
1989.514254,January,0.42
1989.593669,February,0.44
1989.673084,March,0.8
1989.752499,April,0.56
1989.831914,May,0.46
1989.911329,June,0.38
1989.990744,July,0.46
1990.070159,August,0.34
1990.149574,September,0.23
1990.228989,October,0.45
1990.308404,November,0.47
1990.387819,December,0.41
1990.546649,January,0.43
1990.626064,February,0.5
1990.705479,March,0.35
1990.784894,April,0.51
1990.86431,May,0.34
1990.943725,June,0.53
1991.02314,July,0.48
1991.102555,August,0.39
1991.18197,September,0.44
1991.261385,October,0.29
1991.3408,November,0.3
1991.420215,December,0.32
1991.579045,January,0.47
1991.65846,February,0.4
1991.737875,March,0.48
1991.81729,April,0.27
1991.896705,May,0.31
1991.97612,June,0.26
1992.055535,July,0.09
1992.13495,August,0.08
1992.214365,September,-0.01
1992.29378,October,0.06
1992.373195,November,0.03
1992.45261,December,0.21
1992.532025,January,0.35
1992.61144,February,0.37
1992.690855,March,0.36
1992.77027,April,0.28
1992.849685,May,0.28
1992.9291,June,0.23
1993.008515,July,0.25
1993.08793,August,0.11
1993.167345,September,0.12
1993.24676,October,0.23
1993.326175,November,0.04
1993.405591,December,0.18
1993.564421,January,0.26
1993.643836,February,0.03
1993.723251,March,0.29
1993.802666,April,0.42
1993.882081,May,0.28
1993.961496,June,0.44
1994.040911,July,0.3
1994.120326,August,0.22
1994.199741,September,0.32
1994.279156,October,0.42
1994.358571,November,0.44
1994.437986,December,0.38
1994.517401,January,0.52
1994.596816,February,0.79
1994.676231,March,0.47
1994.755646,April,0.46
1994.835061,May,0.27
1994.914476,June,0.44
1994.993891,July,0.45
1995.073306,August,0.45
1995.152721,September,0.34
1995.232136,October,0.48
1995.311551,November,0.44
1995.390966,December,0.25
1995.549796,January,0.24
1995.629211,February,0.46
1995.708626,March,0.33
1995.788041,April,0.32
1995.867456,May,0.28
1995.946872,June,0.26
1996.026287,July,0.37
1996.105702,August,0.48
1996.185117,September,0.25
1996.264532,October,0.2
1996.343947,November,0.39
1996.423362,December,0.37
1996.502777,January,0.3
1996.582192,February,0.41
1996.661607,March,0.52
1996.741022,April,0.34
1996.820437,May,0.34
1996.899852,June,0.54
1996.979267,July,0.34
1997.058682,August,0.42
1997.138097,September,0.52
1997.217512,October,0.61
1997.296927,November,0.64
1997.376342,December,0.59
1997.535172,January,0.58
1997.614587,February,0.88
1997.694002,March,0.63
1997.773417,April,0.63
1997.852832,May,0.68
1997.932247,June,0.77
1998.011662,July,0.66
1998.091077,August,0.66
1998.170492,September,0.42
1998.249907,October,0.42
1998.329322,November,0.43
1998.408738,December,0.55
1998.567568,January,0.49
1998.646983,February,0.64
1998.726398,March,0.32
1998.805813,April,0.32
1998.885228,May,0.27
1998.964643,June,0.36
1999.044058,July,0.38
1999.123473,August,0.32
1999.202888,September,0.39
1999.282303,October,0.35
1999.361718,November,0.37
1999.441133,December,0.41
1999.520548,January,0.25
1999.599963,February,0.56
1999.679378,March,0.56
1999.758793,April,0.56
1999.838208,May,0.36
1999.917623,June,0.4
1999.997038,July,0.39
2000.076453,August,0.42
2000.155868,September,0.39
2000.235283,October,0.28
2000.314698,November,0.31
2000.394113,December,0.28
2000.552943,January,0.46
2000.632358,February,0.44
2000.711773,March,0.56
2000.791188,April,0.51
2000.870603,May,0.58
2000.950019,June,0.52
2001.029434,July,0.59
2001.108849,August,0.5
2001.188264,September,0.52
2001.267679,October,0.51
2001.347094,November,0.73
2001.426509,December,0.56
2001.505924,January,0.77
2001.585339,February,0.79
2001.664754,March,0.88
2001.744169,April,0.58
2001.823584,May,0.63
2001.902999,June,0.53
2001.982414,July,0.61
2002.061829,August,0.54
2002.141244,September,0.63
2002.220659,October,0.54
2002.300074,November,0.59
2002.379489,December,0.44
2002.538319,January,0.75
2002.617734,February,0.58
2002.697149,March,0.6
2002.776564,April,0.55
2002.855979,May,0.61
2002.935394,June,0.48
2003.014809,July,0.59
2003.094224,August,0.65
2003.173639,September,0.62
2003.253054,October,0.74
2003.332469,November,0.53
2003.411884,December,0.75
2003.570715,January,0.59
2003.65013,February,0.73
2003.729545,March,0.64
2003.80896,April,0.61
2003.888375,May,0.38
2003.96779,June,0.44
2004.047205,July,0.27
2004.12662,August,0.47
2004.206035,September,0.5
2004.28545,October,0.61
2004.364865,November,0.73
2004.44428,December,0.51
2004.523695,January,0.75
2004.60311,February,0.6
2004.682525,March,0.75
2004.76194,April,0.68
2004.841355,May,0.63
2004.92077,June,0.65
2005.000185,July,0.62
2005.0796,August,0.62
2005.159015,September,0.71
2005.23843,October,0.75
2005.317845,November,0.74
2005.39726,December,0.68
2005.55609,January,0.56
